LSOA11C,Decile
E01008881,2
E01008882,1
E01008883,2
E01008884,1
E01008885,4
E01008886,2
E01008887,1
E01008888,4
E01008889,2
E01008890,3
E01008891,4
E01008892,2
E01008893,3
E01008894,2
E01008895,3
E01008896,1
E01008897,2
E01008898,1
E01008899,1
E01008901,1
E01008905,1
E01008906,1
E01008907,1
E01008909,1
E01008910,1
E01008911,1
E01008913,1
E01008914,1
E01008915,2
E01008916,1
E01008917,5
E01008918,1
E01008919,2
E01008920,4
E01008921,2
E01008923,1
E01008924,3
E01008925,5
E01008927,1
E01008928,1
E01008929,1
E01008930,3
E01008931,1
E01008932,1
E01008933,3
E01008934,5
E01008935,1
E01008936,2
E01008937,1
E01008938,1
E01008939,2
E01008940,1
E01008941,1
E01008942,2
E01008943,2
E01008944,2
E01008945,3
E01008946,2
E01008947,3
E01008948,4
E01008949,8
E01008950,3
E01008951,5
E01008952,3
E01008953,2
E01008954,5
E01008955,4
E01008956,6
E01008957,3
E01008958,2
E01008959,5
E01008960,5
E01008961,4
E01008962,1
E01008963,2
E01008964,2
E01008965,5
E01008966,1
E01008967,7
E01008968,6
E01008969,4
E01008970,3
E01008971,4
E01008972,1
E01008973,3
E01008974,5
E01008975,5
E01008976,1
E01008977,2
E01008978,1
E01008979,1
E01008980,1
E01008981,5
E01008982,5
E01008984,2
E01008986,3
E01008987,2
E01008988,3
E01008989,3
E01008990,9
E01008991,7
E01008992,7
E01008994,4
E01008995,1
E01008996,1
E01008997,4
E01008998,1
E01008999,2
E01009000,1
E01009001,3
E01009002,1
E01009003,3
E01009005,3
E01009006,2
E01009007,1
E01009008,5
E01009009,4
E01009011,4
E01009012,4
E01009013,1
E01009014,2
E01009015,3
E01009016,1
E01009017,2
E01009018,2
E01009019,1
E01009020,1
E01009021,1
E01009022,2
E01009023,5
E01009024,1
E01009025,1
E01009026,1
E01009028,1
E01009029,2
E01009030,4
E01009031,5
E01009032,5
E01009033,1
E01009034,6
E01009035,4
